,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
219,Mahindra Bolero,2020,47559,2,DIESEL,UP-32,Manual,SUV,762000
220,Maruti Alto K10,2010,54671,1,PETROL,KA-03,Manual,HatchBack,233000
221,Hyundai i10,2010,50831,3,PETROL,KA-51,Manual,HatchBack,241000
222,Maruti Celerio,2020,50393,1,CNG,MH-43,Manual,HatchBack,507000
223,Hyundai VENUE,2021,16860,2,PETROL,TN-12,Manual,SUV,1007000
224,Maruti Dzire,2020,69384,2,DIESEL,WB-20,Automatic,Sedan,676000
225,Renault Duster,2016,52851,1,DIESEL,GJ-16,Manual,SUV,573000
226,Maruti Alto 800,2015,61979,1,PETROL,TS-09,Manual,HatchBack,277000
227,Hyundai i10,2011,72666,1,PETROL,MH-12,Manual,HatchBack,237000
228,Maruti IGNIS,2020,52819,1,PETROL,BR-01,Automatic,HatchBack,611000
229,Renault Kwid,2019,19797,1,PETROL,DL-8C,Manual,HatchBack,344000
230,Hyundai NEW SANTRO,2018,39198,2,PETROL,MP-04,Automatic,HatchBack,538000
231,Honda City,2016,16856,1,PETROL,HR-26,Manual,Sedan,702000
232,Toyota Etios Liva,2014,73506,1,PETROL,DL-8C,Manual,HatchBack,269800
233,Maruti Ciaz,2015,51252,1,PETROL,TN-12,Automatic,Sedan,716000
234,Maruti Alto,2019,20494,1,PETROL,CH-01,Manual,HatchBack,324000
235,Maruti Ciaz,2018,14290,1,PETROL,MH-14,Automatic,Sedan,1368000
236,Honda Jazz,2017,50359,1,PETROL,KA-04,Automatic,HatchBack,696000
237,Renault Kwid,2018,9889,1,PETROL,DL-12,Manual,HatchBack,350000
238,Maruti Wagon R 1.0,2014,40670,1,CNG,MH-12,Manual,HatchBack,376000
239,Renault TRIBER,2022,5303,1,PETROL,MH-12,Manual,SUV,719000
240,Maruti Celerio,2016,63509,1,PETROL,MH-34,Automatic,HatchBack,413000
241,Hyundai NEW I20,2021,17449,2,DIESEL,KA-11,Manual,HatchBack,856000
242,Maruti Baleno,2019,43476,2,PETROL,RJ-02,Manual,HatchBack,588000
243,Honda Amaze,2021,11799,1,PETROL,KL-22,Manual,Sedan,799000
244,Maruti Wagon R 1.0,2014,52914,1,PETROL,TN-22,Manual,HatchBack,364000
245,Hyundai Santro Xing,2011,73284,2,PETROL,MP-09,Manual,HatchBack,218000
246,Hyundai GRAND I10 NIOS,2019,55115,2,PETROL,MH-40,Manual,HatchBack,535000
247,Maruti Celerio,2016,40547,1,PETROL,KA-05,Automatic,HatchBack,452000
248,Maruti Wagon R 1.0,2013,50244,1,PETROL,MH-01,Manual,HatchBack,298000
249,Renault Kwid,2018,46656,1,PETROL,GJ-05,Manual,HatchBack,352000
250,Honda City,2014,36222,2,PETROL,MH-03,Manual,Sedan,557000
251,Honda Brio,2012,66201,2,PETROL,MH-12,Manual,HatchBack,279000
252,Hyundai Verna,2019,66427,1,PETROL,TS-07,Manual,Sedan,974000
253,Maruti New Wagon-R,2021,77064,1,CNG,HR-36,Manual,HatchBack,594000
254,Maruti Dzire,2018,111035,1,PETROL,,Automatic,Sedan,512000
255,Maruti IGNIS,2019,21167,1,PETROL,MH-49,Automatic,HatchBack,651000
256,Nissan Micra Active,2018,81680,1,PETROL,TN-14,Manual,HatchBack,399000
